path,server,client,protocol,units
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u30_mocr4pcc02u29.log,mocr4pcc02u30,mocr4pcc02u29,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u30_mocr4pcc02u31.log,mocr4pcc02u30,mocr4pcc02u31,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u30_mocr4pcc02u32.log,mocr4pcc02u30,mocr4pcc02u32,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u31_mocr4pcc02u15.log,mocr4pcc02u31,mocr4pcc02u15,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u31_mocr4pcc02u16.log,mocr4pcc02u31,mocr4pcc02u16,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u31_mocr4pcc02u24.log,mocr4pcc02u31,mocr4pcc02u24,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u31_mocr4pcc02u25.log,mocr4pcc02u31,mocr4pcc02u25,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u31_mocr4pcc02u29.log,mocr4pcc02u31,mocr4pcc02u29,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u31_mocr4pcc02u30.log,mocr4pcc02u31,mocr4pcc02u30,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u31_mocr4pcc02u32.log,mocr4pcc02u31,mocr4pcc02u32,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u32_mocr4pcc02u15.log,mocr4pcc02u32,mocr4pcc02u15,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u32_mocr4pcc02u16.log,mocr4pcc02u32,mocr4pcc02u16,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u32_mocr4pcc02u24.log,mocr4pcc02u32,mocr4pcc02u24,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u32_mocr4pcc02u25.log,mocr4pcc02u32,mocr4pcc02u25,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u32_mocr4pcc02u29.log,mocr4pcc02u32,mocr4pcc02u29,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u32_mocr4pcc02u30.log,mocr4pcc02u32,mocr4pcc02u30,udp,134,Mbits/sec
25-04-25-1745573955/iperf_udp_srv_mocr4pcc02u32_mocr4pcc02u31.log,mocr4pcc02u32,mocr4pcc02u31,udp,134,Mbits/sec
