path,server,client,protocol,mtu,bufsize,par,bw,units
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u24_mocr4pcc02u15.log,mocr4pcc02u24,mocr4pcc02u15,tcp,1500,128KB,128,196,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u24_mocr4pcc02u16.log,mocr4pcc02u24,mocr4pcc02u16,tcp,1500,128KB,128,196,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u24_mocr4pcc02u25.log,mocr4pcc02u24,mocr4pcc02u25,tcp,1500,128KB,128,191,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u24_mocr4pcc02u29.log,mocr4pcc02u24,mocr4pcc02u29,tcp,1500,128KB,128,196,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u24_mocr4pcc02u30.log,mocr4pcc02u24,mocr4pcc02u30,tcp,1500,128KB,128,197,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u24_mocr4pcc02u31.log,mocr4pcc02u24,mocr4pcc02u31,tcp,1500,128KB,128,197,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u24_mocr4pcc02u32.log,mocr4pcc02u24,mocr4pcc02u32,tcp,1500,128KB,128,194,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u25_mocr4pcc02u15.log,mocr4pcc02u25,mocr4pcc02u15,tcp,1500,128KB,128,194,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u25_mocr4pcc02u16.log,mocr4pcc02u25,mocr4pcc02u16,tcp,1500,128KB,128,194,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u25_mocr4pcc02u24.log,mocr4pcc02u25,mocr4pcc02u24,tcp,1500,128KB,128,195,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u25_mocr4pcc02u29.log,mocr4pcc02u25,mocr4pcc02u29,tcp,1500,128KB,128,191,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u25_mocr4pcc02u30.log,mocr4pcc02u25,mocr4pcc02u30,tcp,1500,128KB,128,196,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u25_mocr4pcc02u31.log,mocr4pcc02u25,mocr4pcc02u31,tcp,1500,128KB,128,194,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u25_mocr4pcc02u32.log,mocr4pcc02u25,mocr4pcc02u32,tcp,1500,128KB,128,192,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u29_mocr4pcc02u15.log,mocr4pcc02u29,mocr4pcc02u15,tcp,1500,128KB,128,193,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u29_mocr4pcc02u16.log,mocr4pcc02u29,mocr4pcc02u16,tcp,1500,128KB,128,195,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u29_mocr4pcc02u24.log,mocr4pcc02u29,mocr4pcc02u24,tcp,1500,128KB,128,194,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u29_mocr4pcc02u25.log,mocr4pcc02u29,mocr4pcc02u25,tcp,1500,128KB,128,194,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u29_mocr4pcc02u30.log,mocr4pcc02u29,mocr4pcc02u30,tcp,1500,128KB,128,196,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u29_mocr4pcc02u31.log,mocr4pcc02u29,mocr4pcc02u31,tcp,1500,128KB,128,196,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u29_mocr4pcc02u32.log,mocr4pcc02u29,mocr4pcc02u32,tcp,1500,128KB,128,194,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u30_mocr4pcc02u15.log,mocr4pcc02u30,mocr4pcc02u15,tcp,1500,128KB,128,195,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u30_mocr4pcc02u16.log,mocr4pcc02u30,mocr4pcc02u16,tcp,1500,128KB,128,196,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u30_mocr4pcc02u24.log,mocr4pcc02u30,mocr4pcc02u24,tcp,1500,128KB,128,196,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u30_mocr4pcc02u25.log,mocr4pcc02u30,mocr4pcc02u25,tcp,1500,128KB,128,192,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u30_mocr4pcc02u29.log,mocr4pcc02u30,mocr4pcc02u29,tcp,1500,128KB,128,193,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u30_mocr4pcc02u31.log,mocr4pcc02u30,mocr4pcc02u31,tcp,1500,128KB,128,196,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u30_mocr4pcc02u32.log,mocr4pcc02u30,mocr4pcc02u32,tcp,1500,128KB,128,193,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u31_mocr4pcc02u15.log,mocr4pcc02u31,mocr4pcc02u15,tcp,1500,128KB,128,193,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u31_mocr4pcc02u16.log,mocr4pcc02u31,mocr4pcc02u16,tcp,1500,128KB,128,195,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u31_mocr4pcc02u24.log,mocr4pcc02u31,mocr4pcc02u24,tcp,1500,128KB,128,196,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u31_mocr4pcc02u25.log,mocr4pcc02u31,mocr4pcc02u25,tcp,1500,128KB,128,194,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u31_mocr4pcc02u29.log,mocr4pcc02u31,mocr4pcc02u29,tcp,1500,128KB,128,196,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u31_mocr4pcc02u30.log,mocr4pcc02u31,mocr4pcc02u30,tcp,1500,128KB,128,195,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u31_mocr4pcc02u32.log,mocr4pcc02u31,mocr4pcc02u32,tcp,1500,128KB,128,194,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u32_mocr4pcc02u15.log,mocr4pcc02u32,mocr4pcc02u15,tcp,1500,128KB,128,195,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u32_mocr4pcc02u16.log,mocr4pcc02u32,mocr4pcc02u16,tcp,1500,128KB,128,195,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u32_mocr4pcc02u24.log,mocr4pcc02u32,mocr4pcc02u24,tcp,1500,128KB,128,196,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u32_mocr4pcc02u25.log,mocr4pcc02u32,mocr4pcc02u25,tcp,1500,128KB,128,194,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u32_mocr4pcc02u29.log,mocr4pcc02u32,mocr4pcc02u29,tcp,1500,128KB,128,193,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u32_mocr4pcc02u30.log,mocr4pcc02u32,mocr4pcc02u30,tcp,1500,128KB,128,196,Gbits/sec
25-04-25-1745573955/iperf_tcp_srv_mocr4pcc02u32_mocr4pcc02u31.log,mocr4pcc02u32,mocr4pcc02u31,tcp,1500,128KB,128,196,Gbits/sec
